INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-06-01T13:00:00-00:00,2016-06-01T14:00:00-00:00,0,2016-06-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24900,ACTUAL,1
2016-06-01T09:00:00-00:00,2016-06-01T10:00:00-00:00,0,2016-06-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22594,ACTUAL,1
2016-06-01T22:00:00-00:00,2016-06-01T23:00:00-00:00,0,2016-06-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,33484,ACTUAL,1
2016-06-01T07:00:00-00:00,2016-06-01T08:00:00-00:00,0,2016-06-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24741,ACTUAL,1
2016-06-01T18:00:00-00:00,2016-06-01T19:00:00-00:00,0,2016-06-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29953,ACTUAL,1
2016-06-01T12:00:00-00:00,2016-06-01T13:00:00-00:00,0,2016-06-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23472,ACTUAL,1
2016-06-01T21:00:00-00:00,2016-06-01T22:00:00-00:00,0,2016-06-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32525,ACTUAL,1
2016-06-01T23:00:00-00:00,2016-06-02T00:00:00-00:00,0,2016-06-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34227,ACTUAL,1
2016-06-02T00:00:00-00:00,2016-06-02T01:00:00-00:00,0,2016-06-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34556,ACTUAL,1
2016-06-01T15:00:00-00:00,2016-06-01T16:00:00-00:00,0,2016-06-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27797,ACTUAL,1
2016-06-01T16:00:00-00:00,2016-06-01T17:00:00-00:00,0,2016-06-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28576,ACTUAL,1
2016-06-02T03:00:00-00:00,2016-06-02T04:00:00-00:00,0,2016-06-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,33949,ACTUAL,1
2016-06-02T04:00:00-00:00,2016-06-02T05:00:00-00:00,0,2016-06-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32581,ACTUAL,1
2016-06-01T11:00:00-00:00,2016-06-01T12:00:00-00:00,0,2016-06-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22396,ACTUAL,1
2016-06-01T20:00:00-00:00,2016-06-01T21:00:00-00:00,0,2016-06-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31520,ACTUAL,1
2016-06-02T02:00:00-00:00,2016-06-02T03:00:00-00:00,0,2016-06-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34018,ACTUAL,1
2016-06-02T06:00:00-00:00,2016-06-02T07:00:00-00:00,0,2016-06-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26813,ACTUAL,1
2016-06-01T08:00:00-00:00,2016-06-01T09:00:00-00:00,0,2016-06-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23442,ACTUAL,1
2016-06-01T17:00:00-00:00,2016-06-01T18:00:00-00:00,0,2016-06-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29331,ACTUAL,1
2016-06-01T10:00:00-00:00,2016-06-01T11:00:00-00:00,0,2016-06-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22198,ACTUAL,1
2016-06-01T14:00:00-00:00,2016-06-01T15:00:00-00:00,0,2016-06-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26711,ACTUAL,1
2016-06-02T01:00:00-00:00,2016-06-02T02:00:00-00:00,0,2016-06-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34504,ACTUAL,1
2016-06-02T05:00:00-00:00,2016-06-02T06:00:00-00:00,0,2016-06-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29646,ACTUAL,1
2016-06-01T19:00:00-00:00,2016-06-01T20:00:00-00:00,0,2016-06-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30580,ACTUAL,1
2016-06-02T03:00:00-00:00,2016-06-02T04:00:00-00:00,0,2016-06-01,21,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5740,ACTUAL,2
2016-06-02T01:00:00-00:00,2016-06-02T02:00:00-00:00,0,2016-06-01,19,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6164,ACTUAL,2
2016-06-01T09:00:00-00:00,2016-06-01T10:00:00-00:00,0,2016-06-01,3,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3620,ACTUAL,2
2016-06-01T14:00:00-00:00,2016-06-01T15:00:00-00:00,0,2016-06-01,8,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3796,ACTUAL,2
2016-06-01T15:00:00-00:00,2016-06-01T16:00:00-00:00,0,2016-06-01,9,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4024,ACTUAL,2
2016-06-01T21:00:00-00:00,2016-06-01T22:00:00-00:00,0,2016-06-01,15,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5765,ACTUAL,2
2016-06-01T10:00:00-00:00,2016-06-01T11:00:00-00:00,0,2016-06-01,4,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3498,ACTUAL,2
2016-06-01T16:00:00-00:00,2016-06-01T17:00:00-00:00,0,2016-06-01,10,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4301,ACTUAL,2
2016-06-02T06:00:00-00:00,2016-06-02T07:00:00-00:00,0,2016-06-01,24,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4483,ACTUAL,2
2016-06-01T13:00:00-00:00,2016-06-01T14:00:00-00:00,0,2016-06-01,7,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3546,ACTUAL,2
2016-06-01T17:00:00-00:00,2016-06-01T18:00:00-00:00,0,2016-06-01,11,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4584,ACTUAL,2
2016-06-01T22:00:00-00:00,2016-06-01T23:00:00-00:00,0,2016-06-01,16,0,ACTUAL,NEVP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6078,ACTUAL,2
