INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2010-10-01T07:00:00-00:00,2010-10-01T08:00:00-00:00,0,2010-10-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,18608,ACTUAL,1
2010-10-01T18:00:00-00:00,2010-10-01T19:00:00-00:00,0,2010-10-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26005,ACTUAL,1
2010-10-02T03:00:00-00:00,2010-10-02T04:00:00-00:00,0,2010-10-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24538,ACTUAL,1
2010-10-01T17:00:00-00:00,2010-10-01T18:00:00-00:00,0,2010-10-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25164,ACTUAL,1
2010-10-01T15:00:00-00:00,2010-10-01T16:00:00-00:00,0,2010-10-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22960,ACTUAL,1
2010-10-01T16:00:00-00:00,2010-10-01T17:00:00-00:00,0,2010-10-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23767,ACTUAL,1
2010-10-01T19:00:00-00:00,2010-10-01T20:00:00-00:00,0,2010-10-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26878,ACTUAL,1
2010-10-01T20:00:00-00:00,2010-10-01T21:00:00-00:00,0,2010-10-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27682,ACTUAL,1
2010-10-01T11:00:00-00:00,2010-10-01T12:00:00-00:00,0,2010-10-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,17479,ACTUAL,1
2010-10-01T12:00:00-00:00,2010-10-01T13:00:00-00:00,0,2010-10-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,18921,ACTUAL,1
2010-10-01T21:00:00-00:00,2010-10-01T22:00:00-00:00,0,2010-10-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27775,ACTUAL,1
