INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2011-08-01T08:00:00-00:00,2011-08-01T09:00:00-00:00,0,2011-08-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24060,ACTUAL,1
2011-08-01T10:00:00-00:00,2011-08-01T11:00:00-00:00,0,2011-08-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22937,ACTUAL,1
2011-08-01T23:00:00-00:00,2011-08-02T00:00:00-00:00,0,2011-08-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,40361,ACTUAL,1
2011-08-01T20:00:00-00:00,2011-08-01T21:00:00-00:00,0,2011-08-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38286,ACTUAL,1
2011-08-01T18:00:00-00:00,2011-08-01T19:00:00-00:00,0,2011-08-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35474,ACTUAL,1
2011-08-01T13:00:00-00:00,2011-08-01T14:00:00-00:00,0,2011-08-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25521,ACTUAL,1
2011-08-01T09:00:00-00:00,2011-08-01T10:00:00-00:00,0,2011-08-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23265,ACTUAL,1
2011-08-02T01:00:00-00:00,2011-08-02T02:00:00-00:00,0,2011-08-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38722,ACTUAL,1
2011-08-01T07:00:00-00:00,2011-08-01T08:00:00-00:00,0,2011-08-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25166,ACTUAL,1
2011-08-01T15:00:00-00:00,2011-08-01T16:00:00-00:00,0,2011-08-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29659,ACTUAL,1
