INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2014-11-01T12:00:00-00:00,2014-11-01T13:00:00-00:00,0,2014-11-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19633,ACTUAL,1
2014-11-02T05:00:00-00:00,2014-11-02T06:00:00-00:00,0,2014-11-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22857,ACTUAL,1
2014-11-01T20:00:00-00:00,2014-11-01T21:00:00-00:00,0,2014-11-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22455,ACTUAL,1
2014-11-01T19:00:00-00:00,2014-11-01T20:00:00-00:00,0,2014-11-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22693,ACTUAL,1
2014-11-01T07:00:00-00:00,2014-11-01T08:00:00-00:00,0,2014-11-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21049,ACTUAL,1
2014-11-01T18:00:00-00:00,2014-11-01T19:00:00-00:00,0,2014-11-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23179,ACTUAL,1
2014-11-02T01:00:00-00:00,2014-11-02T02:00:00-00:00,0,2014-11-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25184,ACTUAL,1
2014-11-01T10:00:00-00:00,2014-11-01T11:00:00-00:00,0,2014-11-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19414,ACTUAL,1
2014-11-01T15:00:00-00:00,2014-11-01T16:00:00-00:00,0,2014-11-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21988,ACTUAL,1
2014-11-01T16:00:00-00:00,2014-11-01T17:00:00-00:00,0,2014-11-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22720,ACTUAL,1
2014-11-01T13:00:00-00:00,2014-11-01T14:00:00-00:00,0,2014-11-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20457,ACTUAL,1
2014-11-01T09:00:00-00:00,2014-11-01T10:00:00-00:00,0,2014-11-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19746,ACTUAL,1
2014-11-01T21:00:00-00:00,2014-11-01T22:00:00-00:00,0,2014-11-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22303,ACTUAL,1
2014-11-01T22:00:00-00:00,2014-11-01T23:00:00-00:00,0,2014-11-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22196,ACTUAL,1
2014-11-02T02:00:00-00:00,2014-11-02T03:00:00-00:00,0,2014-11-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25632,ACTUAL,1
2014-11-01T14:00:00-00:00,2014-11-01T15:00:00-00:00,0,2014-11-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21186,ACTUAL,1
