INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2017-08-01T15:00:00-00:00,2017-08-01T16:00:00-00:00,0,2017-08-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4270,ACTUAL,1
2017-08-02T03:00:00-00:00,2017-08-02T04:00:00-00:00,0,2017-08-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5211,ACTUAL,1
2017-08-02T01:00:00-00:00,2017-08-02T02:00:00-00:00,0,2017-08-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5494,ACTUAL,1
2017-08-02T00:00:00-00:00,2017-08-02T01:00:00-00:00,0,2017-08-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5732,ACTUAL,1
2017-08-02T06:00:00-00:00,2017-08-02T07:00:00-00:00,0,2017-08-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4259,ACTUAL,1
2017-08-01T13:00:00-00:00,2017-08-01T14:00:00-00:00,0,2017-08-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3982,ACTUAL,1
2017-08-01T16:00:00-00:00,2017-08-01T17:00:00-00:00,0,2017-08-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4452,ACTUAL,1
2017-08-01T22:00:00-00:00,2017-08-01T23:00:00-00:00,0,2017-08-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5585,ACTUAL,1
2017-08-02T04:00:00-00:00,2017-08-02T05:00:00-00:00,0,2017-08-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4968,ACTUAL,1
2017-08-02T05:00:00-00:00,2017-08-02T06:00:00-00:00,0,2017-08-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4629,ACTUAL,1
