INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2013-11-01T15:00:00-00:00,2013-11-01T16:00:00-00:00,0,2013-11-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25937,ACTUAL,1
2013-11-01T21:00:00-00:00,2013-11-01T22:00:00-00:00,0,2013-11-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27243,ACTUAL,1
2013-11-02T04:00:00-00:00,2013-11-02T05:00:00-00:00,0,2013-11-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26269,ACTUAL,1
2013-11-02T05:00:00-00:00,2013-11-02T06:00:00-00:00,0,2013-11-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24688,ACTUAL,1
2013-11-01T18:00:00-00:00,2013-11-01T19:00:00-00:00,0,2013-11-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26720,ACTUAL,1
2013-11-01T07:00:00-00:00,2013-11-01T08:00:00-00:00,0,2013-11-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21913,ACTUAL,1
2013-11-01T08:00:00-00:00,2013-11-01T09:00:00-00:00,0,2013-11-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21432,ACTUAL,1
2013-11-01T12:00:00-00:00,2013-11-01T13:00:00-00:00,0,2013-11-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21845,ACTUAL,1
2013-11-01T22:00:00-00:00,2013-11-01T23:00:00-00:00,0,2013-11-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27312,ACTUAL,1
2013-11-01T23:00:00-00:00,2013-11-02T00:00:00-00:00,0,2013-11-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27287,ACTUAL,1
2013-11-01T09:00:00-00:00,2013-11-01T10:00:00-00:00,0,2013-11-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21146,ACTUAL,1
2013-11-01T16:00:00-00:00,2013-11-01T17:00:00-00:00,0,2013-11-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26280,ACTUAL,1
2013-11-01T10:00:00-00:00,2013-11-01T11:00:00-00:00,0,2013-11-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21004,ACTUAL,1
2013-11-01T11:00:00-00:00,2013-11-01T12:00:00-00:00,0,2013-11-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21112,ACTUAL,1
2013-11-01T20:00:00-00:00,2013-11-01T21:00:00-00:00,0,2013-11-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27014,ACTUAL,1
2013-11-01T17:00:00-00:00,2013-11-01T18:00:00-00:00,0,2013-11-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26619,ACTUAL,1
2013-11-02T00:00:00-00:00,2013-11-02T01:00:00-00:00,0,2013-11-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27246,ACTUAL,1
2013-11-01T13:00:00-00:00,2013-11-01T14:00:00-00:00,0,2013-11-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24236,ACTUAL,1
2013-11-01T14:00:00-00:00,2013-11-01T15:00:00-00:00,0,2013-11-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25486,ACTUAL,1
2013-11-02T06:00:00-00:00,2013-11-02T07:00:00-00:00,0,2013-11-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22926,ACTUAL,1
2013-11-02T02:00:00-00:00,2013-11-02T03:00:00-00:00,0,2013-11-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28431,ACTUAL,1
2013-11-01T19:00:00-00:00,2013-11-01T20:00:00-00:00,0,2013-11-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26670,ACTUAL,1
2013-11-02T01:00:00-00:00,2013-11-02T02:00:00-00:00,0,2013-11-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28457,ACTUAL,1
