INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2013-07-01T19:00:00-00:00,2013-07-01T20:00:00-00:00,0,2013-07-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,40368,ACTUAL,1
2013-07-01T18:00:00-00:00,2013-07-01T19:00:00-00:00,0,2013-07-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38943,ACTUAL,1
2013-07-01T11:00:00-00:00,2013-07-01T12:00:00-00:00,0,2013-07-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26021,ACTUAL,1
2013-07-01T22:00:00-00:00,2013-07-01T23:00:00-00:00,0,2013-07-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,44138,ACTUAL,1
2013-07-02T03:00:00-00:00,2013-07-02T04:00:00-00:00,0,2013-07-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,41513,ACTUAL,1
2013-07-01T10:00:00-00:00,2013-07-01T11:00:00-00:00,0,2013-07-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25870,ACTUAL,1
2013-07-01T12:00:00-00:00,2013-07-01T13:00:00-00:00,0,2013-07-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26893,ACTUAL,1
2013-07-01T13:00:00-00:00,2013-07-01T14:00:00-00:00,0,2013-07-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28249,ACTUAL,1
2013-07-01T14:00:00-00:00,2013-07-01T15:00:00-00:00,0,2013-07-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30463,ACTUAL,1
2013-07-02T00:00:00-00:00,2013-07-02T01:00:00-00:00,0,2013-07-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,44484,ACTUAL,1
2013-07-02T04:00:00-00:00,2013-07-02T05:00:00-00:00,0,2013-07-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,39880,ACTUAL,1
2013-07-01T07:00:00-00:00,2013-07-01T08:00:00-00:00,0,2013-07-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28845,ACTUAL,1
2013-07-01T09:00:00-00:00,2013-07-01T10:00:00-00:00,0,2013-07-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26373,ACTUAL,1
2013-07-01T16:00:00-00:00,2013-07-01T17:00:00-00:00,0,2013-07-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34644,ACTUAL,1
2013-07-02T06:00:00-00:00,2013-07-02T07:00:00-00:00,0,2013-07-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32961,ACTUAL,1
2013-07-01T08:00:00-00:00,2013-07-01T09:00:00-00:00,0,2013-07-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27315,ACTUAL,1
2013-07-01T17:00:00-00:00,2013-07-01T18:00:00-00:00,0,2013-07-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,36839,ACTUAL,1
2013-07-01T21:00:00-00:00,2013-07-01T22:00:00-00:00,0,2013-07-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,43049,ACTUAL,1
2013-07-01T23:00:00-00:00,2013-07-02T00:00:00-00:00,0,2013-07-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,44814,ACTUAL,1
2013-07-01T20:00:00-00:00,2013-07-01T21:00:00-00:00,0,2013-07-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,41728,ACTUAL,1
2013-07-02T01:00:00-00:00,2013-07-02T02:00:00-00:00,0,2013-07-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,43636,ACTUAL,1
2013-07-01T15:00:00-00:00,2013-07-01T16:00:00-00:00,0,2013-07-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32433,ACTUAL,1
2013-07-02T02:00:00-00:00,2013-07-02T03:00:00-00:00,0,2013-07-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,42320,ACTUAL,1
2013-07-02T05:00:00-00:00,2013-07-02T06:00:00-00:00,0,2013-07-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,36445,ACTUAL,1
2013-07-01T15:00:00-00:00,2013-07-01T16:00:00-00:00,0,2013-07-01,9,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,15086,ACTUAL,2
2013-07-01T23:00:00-00:00,2013-07-02T00:00:00-00:00,0,2013-07-01,17,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,20544,ACTUAL,2
2013-07-02T04:00:00-00:00,2013-07-02T05:00:00-00:00,0,2013-07-01,22,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,18846,ACTUAL,2
2013-07-02T05:00:00-00:00,2013-07-02T06:00:00-00:00,0,2013-07-01,23,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,17266,ACTUAL,2
2013-07-02T06:00:00-00:00,2013-07-02T07:00:00-00:00,0,2013-07-01,24,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,15603,ACTUAL,2
2013-07-01T10:00:00-00:00,2013-07-01T11:00:00-00:00,0,2013-07-01,4,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,12147,ACTUAL,2
2013-07-01T16:00:00-00:00,2013-07-01T17:00:00-00:00,0,2013-07-01,10,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,16140,ACTUAL,2
2013-07-01T20:00:00-00:00,2013-07-01T21:00:00-00:00,0,2013-07-01,14,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,19526,ACTUAL,2
2013-07-01T11:00:00-00:00,2013-07-01T12:00:00-00:00,0,2013-07-01,5,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,12180,ACTUAL,2
2013-07-01T18:00:00-00:00,2013-07-01T19:00:00-00:00,0,2013-07-01,12,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,18281,ACTUAL,2
2013-07-01T17:00:00-00:00,2013-07-01T18:00:00-00:00,0,2013-07-01,11,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,17245,ACTUAL,2
2013-07-01T21:00:00-00:00,2013-07-01T22:00:00-00:00,0,2013-07-01,15,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,19995,ACTUAL,2
2013-07-02T00:00:00-00:00,2013-07-02T01:00:00-00:00,0,2013-07-01,18,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,20364,ACTUAL,2
2013-07-02T02:00:00-00:00,2013-07-02T03:00:00-00:00,0,2013-07-01,20,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,19972,ACTUAL,2
2013-07-01T09:00:00-00:00,2013-07-01T10:00:00-00:00,0,2013-07-01,3,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,12338,ACTUAL,2
2013-07-01T12:00:00-00:00,2013-07-01T13:00:00-00:00,0,2013-07-01,6,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,12559,ACTUAL,2
2013-07-01T19:00:00-00:00,2013-07-01T20:00:00-00:00,0,2013-07-01,13,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,18912,ACTUAL,2
2013-07-01T07:00:00-00:00,2013-07-01T08:00:00-00:00,0,2013-07-01,1,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,13476,ACTUAL,2
2013-07-01T22:00:00-00:00,2013-07-01T23:00:00-00:00,0,2013-07-01,16,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,20307,ACTUAL,2
2013-07-02T01:00:00-00:00,2013-07-02T02:00:00-00:00,0,2013-07-01,19,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,20194,ACTUAL,2
2013-07-02T03:00:00-00:00,2013-07-02T04:00:00-00:00,0,2013-07-01,21,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,19448,ACTUAL,2
2013-07-01T08:00:00-00:00,2013-07-01T09:00:00-00:00,0,2013-07-01,2,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,12662,ACTUAL,2
2013-07-01T13:00:00-00:00,2013-07-01T14:00:00-00:00,0,2013-07-01,7,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,13228,ACTUAL,2
2013-07-01T14:00:00-00:00,2013-07-01T15:00:00-00:00,0,2013-07-01,8,0,ACTUAL,PGE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.1,14320,ACTUAL,2
2013-07-01T11:00:00-00:00,2013-07-01T12:00:00-00:00,0,2013-07-01,5,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,11800,ACTUAL,3
2013-07-01T18:00:00-00:00,2013-07-01T19:00:00-00:00,0,2013-07-01,12,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,17340,ACTUAL,3
2013-07-02T05:00:00-00:00,2013-07-02T06:00:00-00:00,0,2013-07-01,23,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,16183,ACTUAL,3
2013-07-02T01:00:00-00:00,2013-07-02T02:00:00-00:00,0,2013-07-01,19,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,19861,ACTUAL,3
2013-07-02T00:00:00-00:00,2013-07-02T01:00:00-00:00,0,2013-07-01,18,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,20377,ACTUAL,3
2013-07-01T20:00:00-00:00,2013-07-01T21:00:00-00:00,0,2013-07-01,14,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,18577,ACTUAL,3
2013-07-01T17:00:00-00:00,2013-07-01T18:00:00-00:00,0,2013-07-01,11,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,16460,ACTUAL,3
2013-07-01T08:00:00-00:00,2013-07-01T09:00:00-00:00,0,2013-07-01,2,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,12518,ACTUAL,3
2013-07-01T07:00:00-00:00,2013-07-01T08:00:00-00:00,0,2013-07-01,1,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,13087,ACTUAL,3
2013-07-01T16:00:00-00:00,2013-07-01T17:00:00-00:00,0,2013-07-01,10,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,15533,ACTUAL,3
2013-07-02T06:00:00-00:00,2013-07-02T07:00:00-00:00,0,2013-07-01,24,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,14706,ACTUAL,3
2013-07-02T04:00:00-00:00,2013-07-02T05:00:00-00:00,0,2013-07-01,22,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,17699,ACTUAL,3
2013-07-02T03:00:00-00:00,2013-07-02T04:00:00-00:00,0,2013-07-01,21,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,18587,ACTUAL,3
2013-07-01T09:00:00-00:00,2013-07-01T10:00:00-00:00,0,2013-07-01,3,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,11994,ACTUAL,3
2013-07-01T23:00:00-00:00,2013-07-02T00:00:00-00:00,0,2013-07-01,17,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,20492,ACTUAL,3
2013-07-01T14:00:00-00:00,2013-07-01T15:00:00-00:00,0,2013-07-01,8,0,ACTUAL,SCE-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.2,13570,ACTUAL,3
