,OPR_DT,OPR_HR,TAC_AREA_NAME,MW
653,2010-01-06,11,PGE-TAC,5726
654,2010-01-06,20,PGE-TAC,6216
655,2010-01-06,5,PGE-TAC,4361
656,2010-01-06,24,PGE-TAC,4691
657,2010-01-06,23,PGE-TAC,5198
658,2010-01-06,16,PGE-TAC,5696
659,2010-01-06,9,PGE-TAC,5746
660,2010-01-06,12,PGE-TAC,5696
661,2010-01-06,2,PGE-TAC,4202
662,2010-01-06,3,PGE-TAC,4173
663,2010-01-06,10,PGE-TAC,5735
664,2010-01-06,7,PGE-TAC,5384
665,2010-01-06,22,PGE-TAC,5670
666,2010-01-06,1,PGE-TAC,4375
667,2010-01-06,15,PGE-TAC,5622
668,2010-01-06,6,PGE-TAC,4686
669,2010-01-06,21,PGE-TAC,5965
670,2010-01-06,18,PGE-TAC,6421
671,2010-01-06,8,PGE-TAC,5630
768,2010-01-07,6,PGE-TAC,4767
769,2010-01-07,8,PGE-TAC,5745
770,2010-01-07,11,PGE-TAC,5945
771,2010-01-07,16,PGE-TAC,5765
772,2010-01-07,24,PGE-TAC,4714
773,2010-01-07,20,PGE-TAC,6303
774,2010-01-07,5,PGE-TAC,4351
775,2010-01-07,13,PGE-TAC,5823
776,2010-01-07,19,PGE-TAC,6451
777,2010-01-07,7,PGE-TAC,5500
778,2010-01-07,10,PGE-TAC,5902
779,2010-01-07,14,PGE-TAC,5775
780,2010-01-07,12,PGE-TAC,5850
781,2010-01-07,21,PGE-TAC,6075
782,2010-01-07,9,PGE-TAC,5849
783,2010-01-07,17,PGE-TAC,6049
784,2010-01-07,2,PGE-TAC,4241
785,2010-01-07,22,PGE-TAC,5654
786,2010-01-07,23,PGE-TAC,5186
787,2010-01-07,3,PGE-TAC,4174
788,2010-01-07,4,PGE-TAC,4197
789,2010-01-07,15,PGE-TAC,5720
790,2010-01-07,18,PGE-TAC,6565
791,2010-01-07,1,PGE-TAC,4441
888,2010-01-08,13,PGE-TAC,5991
889,2010-01-08,11,PGE-TAC,5977
890,2010-01-08,2,PGE-TAC,4200
891,2010-01-08,8,PGE-TAC,5681
892,2010-01-08,14,PGE-TAC,5891
893,2010-01-08,9,PGE-TAC,5779
894,2010-01-08,10,PGE-TAC,5909
895,2010-01-08,16,PGE-TAC,5779
896,2010-01-08,21,PGE-TAC,5982
897,2010-01-08,4,PGE-TAC,4155
898,2010-01-08,5,PGE-TAC,4377
899,2010-01-08,15,PGE-TAC,5773
900,2010-01-08,19,PGE-TAC,6356
901,2010-01-08,22,PGE-TAC,5666
902,2010-01-08,24,PGE-TAC,4783
903,2010-01-08,1,PGE-TAC,4381
904,2010-01-08,6,PGE-TAC,4785
905,2010-01-08,12,PGE-TAC,5960
906,2010-01-08,23,PGE-TAC,5224
907,2010-01-08,3,PGE-TAC,4120
908,2010-01-08,7,PGE-TAC,5440
909,2010-01-08,18,PGE-TAC,6493
910,2010-01-08,20,PGE-TAC,6181
911,2010-01-08,17,PGE-TAC,5999
1008,2010-01-09,22,PGE-TAC,5443
1009,2010-01-09,12,PGE-TAC,5358
1010,2010-01-09,24,PGE-TAC,4701
1011,2010-01-09,23,PGE-TAC,5084
1012,2010-01-09,17,PGE-TAC,5401
1013,2010-01-09,16,PGE-TAC,5200
1014,2010-01-09,14,PGE-TAC,5334
1015,2010-01-09,11,PGE-TAC,5328
1016,2010-01-09,3,PGE-TAC,4150
1017,2010-01-09,2,PGE-TAC,4257
1018,2010-01-09,1,PGE-TAC,4485
1019,2010-01-09,15,PGE-TAC,5251
1020,2010-01-09,13,PGE-TAC,5348
1021,2010-01-09,4,PGE-TAC,4079
1022,2010-01-09,9,PGE-TAC,5041
1023,2010-01-09,5,PGE-TAC,4139
1024,2010-01-09,10,PGE-TAC,5247
1025,2010-01-09,20,PGE-TAC,5831
1026,2010-01-09,21,PGE-TAC,5685
1027,2010-01-09,7,PGE-TAC,4556
1028,2010-01-09,6,PGE-TAC,4307
1029,2010-01-09,19,PGE-TAC,5978
1030,2010-01-09,18,PGE-TAC,6027
1031,2010-01-09,8,PGE-TAC,4747
1128,2010-01-10,6,PGE-TAC,4221
1129,2010-01-10,5,PGE-TAC,4076
1130,2010-01-10,4,PGE-TAC,4057
1131,2010-01-10,3,PGE-TAC,4086
1132,2010-01-10,23,PGE-TAC,4971
1133,2010-01-10,14,PGE-TAC,5118
1134,2010-01-10,1,PGE-TAC,4408
1135,2010-01-10,22,PGE-TAC,5426
1136,2010-01-10,19,PGE-TAC,6102
1137,2010-01-10,16,PGE-TAC,5203
1138,2010-01-10,15,PGE-TAC,5103
1139,2010-01-10,10,PGE-TAC,5086
1140,2010-01-10,9,PGE-TAC,4895
1141,2010-01-10,7,PGE-TAC,4431
1142,2010-01-10,24,PGE-TAC,4527
1143,2010-01-10,20,PGE-TAC,5989
1144,2010-01-10,18,PGE-TAC,6126
1145,2010-01-10,2,PGE-TAC,4172
1146,2010-01-10,21,PGE-TAC,5799
1147,2010-01-10,17,PGE-TAC,5551
1148,2010-01-10,13,PGE-TAC,5164
1149,2010-01-10,8,PGE-TAC,4568
1150,2010-01-10,11,PGE-TAC,5132
1151,2010-01-10,12,PGE-TAC,5176
1248,2010-01-11,20,PGE-TAC,6425
1249,2010-01-11,13,PGE-TAC,5948
1250,2010-01-11,3,PGE-TAC,4066
1251,2010-01-11,15,PGE-TAC,5868
1252,2010-01-11,21,PGE-TAC,6171
1253,2010-01-11,1,PGE-TAC,4240
1254,2010-01-11,7,PGE-TAC,5461
1255,2010-01-11,12,PGE-TAC,5948
1256,2010-01-11,19,PGE-TAC,6592
1257,2010-01-11,5,PGE-TAC,4309
1258,2010-01-11,16,PGE-TAC,5922
1259,2010-01-11,17,PGE-TAC,6179
1260,2010-01-11,4,PGE-TAC,4114
1261,2010-01-11,8,PGE-TAC,5719
1262,2010-01-11,11,PGE-TAC,5954
1263,2010-01-11,22,PGE-TAC,5780
1264,2010-01-11,6,PGE-TAC,4760
1265,2010-01-11,23,PGE-TAC,5282
1266,2010-01-11,14,PGE-TAC,5933
1267,2010-01-11,18,PGE-TAC,6659
1268,2010-01-11,24,PGE-TAC,4823
1269,2010-01-11,9,PGE-TAC,5861
1270,2010-01-11,10,PGE-TAC,5953
1271,2010-01-11,2,PGE-TAC,4106
1368,2010-01-12,1,PGE-TAC,4469
1369,2010-01-12,20,PGE-TAC,6292
1370,2010-01-12,11,PGE-TAC,5964
1371,2010-01-12,4,PGE-TAC,4294
1372,2010-01-12,16,PGE-TAC,5949
1373,2010-01-12,12,PGE-TAC,6027
1374,2010-01-12,23,PGE-TAC,5079
1375,2010-01-12,21,PGE-TAC,6016
1376,2010-01-12,18,PGE-TAC,6562
1377,2010-01-12,17,PGE-TAC,6189
1378,2010-01-12,14,PGE-TAC,5901
1379,2010-01-12,13,PGE-TAC,5988
1380,2010-01-12,3,PGE-TAC,4311
1381,2010-01-12,19,PGE-TAC,6447
1382,2010-01-12,5,PGE-TAC,4467
1383,2010-01-12,24,PGE-TAC,4704
1384,2010-01-12,22,PGE-TAC,5645
1385,2010-01-12,15,PGE-TAC,5944
1386,2010-01-12,10,PGE-TAC,5932
1387,2010-01-12,6,PGE-TAC,4774
1388,2010-01-12,8,PGE-TAC,5668
1389,2010-01-12,7,PGE-TAC,5547
1390,2010-01-12,9,PGE-TAC,5789
1391,2010-01-12,2,PGE-TAC,4372
1488,2010-01-13,5,PGE-TAC,4319
1489,2010-01-13,23,PGE-TAC,5101
1490,2010-01-13,4,PGE-TAC,4157
1491,2010-01-13,10,PGE-TAC,5765
1492,2010-01-13,15,PGE-TAC,5595
1493,2010-01-13,24,PGE-TAC,4576
1494,2010-01-13,13,PGE-TAC,5674
1495,2010-01-13,18,PGE-TAC,6315
1496,2010-01-13,8,PGE-TAC,5485
1497,2010-01-13,16,PGE-TAC,5629
1498,2010-01-13,17,PGE-TAC,5815
1499,2010-01-13,22,PGE-TAC,5548
1500,2010-01-13,7,PGE-TAC,5321
1501,2010-01-13,9,PGE-TAC,5596
1502,2010-01-13,11,PGE-TAC,5795
1503,2010-01-13,1,PGE-TAC,4481
1504,2010-01-13,3,PGE-TAC,4123
1505,2010-01-13,12,PGE-TAC,5742
1506,2010-01-13,21,PGE-TAC,5854
1507,2010-01-13,6,PGE-TAC,4627
1508,2010-01-13,14,PGE-TAC,5658
1509,2010-01-13,20,PGE-TAC,6079
1510,2010-01-13,2,PGE-TAC,4190
1511,2010-01-13,19,PGE-TAC,6238
1608,2010-01-14,2,PGE-TAC,4051
1609,2010-01-14,7,PGE-TAC,5299
1610,2010-01-14,8,PGE-TAC,5508
1611,2010-01-14,17,PGE-TAC,5784
1612,2010-01-14,24,PGE-TAC,4653
1613,2010-01-14,13,PGE-TAC,5693
1614,2010-01-14,19,PGE-TAC,6206
1615,2010-01-14,23,PGE-TAC,5104
1616,2010-01-14,3,PGE-TAC,4020
1617,2010-01-14,10,PGE-TAC,5699
1618,2010-01-14,14,PGE-TAC,5698
1619,2010-01-14,18,PGE-TAC,6307
1620,2010-01-14,20,PGE-TAC,6073
1621,2010-01-14,16,PGE-TAC,5624
1622,2010-01-14,21,PGE-TAC,5857
1623,2010-01-14,1,PGE-TAC,4262
1624,2010-01-14,4,PGE-TAC,3990
1625,2010-01-14,5,PGE-TAC,4171
1626,2010-01-14,6,PGE-TAC,4504
1627,2010-01-14,11,PGE-TAC,5726
1628,2010-01-14,22,PGE-TAC,5529
1629,2010-01-14,9,PGE-TAC,5645
1630,2010-01-14,12,PGE-TAC,5709
1631,2010-01-14,15,PGE-TAC,5649
1728,2010-01-15,12,PGE-TAC,5900
1729,2010-01-15,8,PGE-TAC,5663
1730,2010-01-15,2,PGE-TAC,4146
1731,2010-01-15,22,PGE-TAC,5487
1732,2010-01-15,20,PGE-TAC,6083
1733,2010-01-15,10,PGE-TAC,5889
1734,2010-01-15,21,PGE-TAC,5822
1735,2010-01-15,16,PGE-TAC,5728
1736,2010-01-15,4,PGE-TAC,4161
1737,2010-01-15,11,PGE-TAC,5919
1738,2010-01-15,3,PGE-TAC,4116
1739,2010-01-15,18,PGE-TAC,6414
