INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2012-09-01T15:00:00-00:00,2012-09-01T16:00:00-00:00,0,2012-09-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25945,ACTUAL,1
2012-09-02T01:00:00-00:00,2012-09-02T02:00:00-00:00,0,2012-09-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32815,ACTUAL,1
2012-09-01T12:00:00-00:00,2012-09-01T13:00:00-00:00,0,2012-09-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23633,ACTUAL,1
2012-09-01T16:00:00-00:00,2012-09-01T17:00:00-00:00,0,2012-09-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27467,ACTUAL,1
2012-09-02T06:00:00-00:00,2012-09-02T07:00:00-00:00,0,2012-09-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26498,ACTUAL,1
2012-09-01T13:00:00-00:00,2012-09-01T14:00:00-00:00,0,2012-09-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23794,ACTUAL,1
2012-09-01T10:00:00-00:00,2012-09-01T11:00:00-00:00,0,2012-09-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23476,ACTUAL,1
2012-09-01T21:00:00-00:00,2012-09-01T22:00:00-00:00,0,2012-09-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32319,ACTUAL,1
2012-09-01T09:00:00-00:00,2012-09-01T10:00:00-00:00,0,2012-09-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23951,ACTUAL,1
2012-09-01T14:00:00-00:00,2012-09-01T15:00:00-00:00,0,2012-09-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24332,ACTUAL,1
